ppv	cso_one	cso_two	sens	spec	tp_at_zero	fp_at_zero	tp_at_one	ghost_at_one	fp_at_one	tp_after_one	tp_after_one_with_correct_cso	tp_after_one_with_incorrect_cso	tp_at_two	fp_at_two	ghost_at_two	tp_after_two	fp_after_two	residual_risk_one	cso_likely_elsewhere	total_ghosts_one	residual_risk_two	total_ghosts_two
0.3	0.7	0.5	0.9	0.9	0.3	0.7	0.189	0.06999999999999998	0.7	0.11099999999999999	0.020999999999999994	0.09	0.0405	0.7	0.06999999999999998	0.07049999999999998	0.7	0.13686806411837238	0.8108108108108109	0.06999999999999998	0.09149902660609992	0.13999999999999996
0.3	0.7	0.5	0.7	0.9	0.3	0.7	0.147	0.06999999999999998	0.7	0.153	0.063	0.09	0.0315	0.7	0.06999999999999998	0.1215	0.7	0.17936694021101993	0.5882352941176471	0.06999999999999998	0.14790018259281804	0.13999999999999996
0.3	0.7	0.6	1	1	0.3	0.7	0.21	0	0.7	0.09	0	0.09	0.054	0.7	0	0.036	0.7	0.1139240506329114	1	0	0.048913043478260865	0
0.3	0.7	0.6	0.9	0.9	0.3	0.7	0.189	0.06999999999999998	0.7	0.11099999999999999	0.020999999999999994	0.09	0.0486	0.7	0.06999999999999998	0.06239999999999999	0.7	0.13686806411837238	0.8108108108108109	0.06999999999999998	0.08184679958027281	0.13999999999999996
0.3	0.7	0.6	0.7	0.9	0.3	0.7	0.147	0.06999999999999998	0.7	0.153	0.063	0.09	0.0378	0.7	0.06999999999999998	0.1152	0.7	0.17936694021101993	0.5882352941176471	0.06999999999999998	0.14131501472031405	0.13999999999999996
0.3	0.8	0.4	1	1	0.3	0.7	0.24	0	0.7	0.06	0	0.06	0.024	0.7	0	0.036	0.7	0.07894736842105263	1	0	0.048913043478260865	0
0.3	0.8	0.4	0.9	0.9	0.3	0.7	0.216	0.06999999999999998	0.7	0.08399999999999999	0.023999999999999994	0.06	0.0216	0.7	0.06999999999999998	0.06239999999999999	0.7	0.10714285714285714	0.7142857142857143	0.06999999999999998	0.08184679958027281	0.13999999999999996
0.3	0.8	0.4	0.7	0.9	0.3	0.7	0.16799999999999998	0.06999999999999998	0.7	0.132	0.07200000000000001	0.06	0.0168	0.7	0.06999999999999998	0.11520000000000001	0.7	0.15865384615384617	0.45454545454545453	0.06999999999999998	0.14131501472031405	0.13999999999999996
0.3	0.8	0.5	1	1	0.3	0.7	0.24	0	0.7	0.06	0	0.06	0.03	0.7	0	0.03	0.7	0.07894736842105263	1	0	0.0410958904109589	0
0.3	0.8	0.5	0.9	0.9	0.3	0.7	0.216	0.06999999999999998	0.7	0.08399999999999999	0.023999999999999994	0.06	0.027	0.7	0.06999999999999998	0.056999999999999995	0.7	0.10714285714285714	0.7142857142857143	0.06999999999999998	0.07529722589167769	0.13999999999999996
0.3	0.8	0.5	0.7	0.9	0.3	0.7	0.16799999999999998	0.06999999999999998	0.7	0.132	0.07200000000000001	0.06	0.020999999999999998	0.7	0.06999999999999998	0.11100000000000002	0.7	0.15865384615384617	0.45454545454545453	0.06999999999999998	0.1368680641183724	0.13999999999999996
0.3	0.8	0.6	1	1	0.3	0.7	0.24	0	0.7	0.06	0	0.06	0.036	0.7	0	0.024	0.7	0.07894736842105263	1	0	0.03314917127071823	0
0.3	0.8	0.6	0.9	0.9	0.3	0.7	0.216	0.06999999999999998	0.7	0.08399999999999999	0.023999999999999994	0.06	0.0324	0.7	0.06999999999999998	0.05159999999999999	0.7	0.10714285714285714	0.7142857142857143	0.06999999999999998	0.06865353911655135	0.13999999999999996
0.3	0.8	0.6	0.7	0.9	0.3	0.7	0.16799999999999998	0.06999999999999998	0.7	0.132	0.07200000000000001	0.06	0.025199999999999997	0.7	0.06999999999999998	0.1068	0.7	0.15865384615384617	0.45454545454545453	0.06999999999999998	0.13237481408031732	0.13999999999999996
0.3	0.9	0.4	1	1	0.3	0.7	0.27	0	0.7	0.02999999999999997	0	0.02999999999999997	0.01199999999999999	0.7	0	0.01799999999999998	0.7	0.04109589041095887	1	0	0.025069637883008332	0
0.3	0.9	0.4	0.9	0.9	0.3	0.7	0.24300000000000002	0.06999999999999998	0.7	0.05699999999999997	0.026999999999999996	0.02999999999999997	0.010799999999999992	0.7	0.06999999999999998	0.04619999999999998	0.7	0.07529722589167764	0.526315789473684	0.06999999999999998	0.06191369606003749	0.13999999999999996
